Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
APT 40,10/16/2017,"Also known as TEMP.Periscope, Leviathan, and Mudcarp.??Believed to be behind the compromise of Cambodia???s election organizations??and the Target of universities' maritime military secrets.","This threat actor targets defense contractors, law firms, engineering firms, shipping companies, and government agencies with responsibilities or business in the maritime industry.",,"United States, The Philippines, Asia Pacific Economic Cooperation, Hong Kong, Malaysia",China,Espionage,"Government, Private sector",https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets,https://www.f-secure.com/documents/996508/1030745/nanhaishu_whitepaper.pdf,https://www.fireeye.com/blog/threat-research/2018/03/suspected-chinese-espionage-group-targeting-maritime-and-engineering-industries.html,"Proofpoint, F-Secure, FireEye",APT 40
NotPetya,7/1/2017,Possibly linked to Sandworm.,"Threat actors deploy a tool, called NotPetya, with the purpose of encrypting data on victims' machines and rendering it unusable. The malware was spread through tax software that companies and individuals require for filing taxes in Ukraine.??Australia, Estonia,??Denmark, Lithuania, Ukraine, the United Kingdom, and the United States issued statements attributing NotPetya to Russian state-sponsored actors. In June 2018, the United States sanctioned Russian organizations believed to have assisted the Russian state-sponsored actors with the operation.??",Denouncement   https://ssu.gov.ua/en/news/1/category/2/view/3660#.HyeD9NJ6.dpbs,"Rosneft, WPP Plc., Maersk, Cie de Saint-Gobain, SNCF, Merck, Mondelez, Port of Rosario, Kyivenergo, The government of Ukraine",Russian Federation,Data destruction,"Government, Private sector",https://www.washingtonpost.com/world/national-security/russian-military-was-behind-notpetya-cyberattack-in-ukraine-cia-concludes/2018/01/12/048d8506-f7ca-11e7-b34a-b85626af34ef_story.html?outputType=tracking&pwa=off&referrer=%24%7BdocumentReferrer%7D&tre???,https://www.theregister.co.uk/2017/06/28/petya_notpetya_ransomware/,https://www.welivesecurity.com/2017/06/30/telebots-back-supply-chain-attacks-against-ukraine/,"ESET, Kaspersky, United States government, United Kingdom government, New Zealand government, Australian government, Canadian government, Danish government, Estonian government, Latvian government, Swedish government, Finnish government",BlackEnergy
JadeRAT,10/20/2017,Possibly linked to APT 30,"This threat actor, using a tool called JadeRAT, targets the mobile phones of ethnic minorities in China, notably Uighurs, for the purpose of espionage.

??",,Ethnic minorities in China,China,Civil Espionage,Civil society,https://blog.lookout.com/mobile-threat-jaderat,https://www.cyberscoop.com/lookout-china-scarlet-mimic-jaderat/,,Lookout,APT 30?
APT 17,10/12/2017,Also known as Tick and RedBaldKnight,"This threat actor targets organizations in the critical infrastructure, heavy industry, manufacturing, and international relations sectors for espionage purposes.",,"Japan, Korea (Republic of), Russian Federation, China, Mitsubishi Group",China,Espionage,Private sector,https://www.secureworks.com/research/bronze-butler-targets-japanese-businesses,https://www.symantec.com/connect/ja/blogs/tick,https://blog.trendmicro.com/trendlabs-security-intelligence/redbaldknight-bronze-butler-daserf-backdoor-now-using-steganography/,"Secureworks, Symantec, TrendMicro",APT 17
Longhorn,4/10/2017,Also known as the Lamberts,"This threat actor compromises governments, international organizations, academic institutions, and financial, telecommunications, energy, aerospace, information technology, and natural resource ??industries for espionage purposes. Some of the tools used by this threat actor were released by Wikileaks under the name ""Vault 7.""",,Global,United States,Espionage,"Private sector, Government",https://www.symantec.com/connect/blogs/longhorn-tools-used-cyberespionage-group-linked-vault-7,https://securelist.com/77990/unraveling-the-lamberts-toolkit/,,"Symantec, Kaspersky",Lamberts
Phishing campaign against Montenegro,6/6/2017,Believed to be the work of APT 28,A threat actor targeted officials from Montenegro for the purpose of espionage. The phishing campaign came during the country???s accession to NATO.,,Montenegro,Russian Federation,Political Espionage,Government,https://www.cyberscoop.com/apt28-targeted-montenegros-government-joined-nato-researchers-say/,https://www.theregister.co.uk/2017/06/06/russian_hackers_target_montenegro/,http://pwc.blogs.com/cyber_security_updates/2017/06/-montenegro-targeted-ahead-of-nato-accession.html,FireEye,APT 28
Compromise of a Danish Ministry of Defense e-mail service,4/23/2017,Believed to be the work of APT 28,"A threat actor compromised an email service maintained by the Danish Ministry of Defense, and is also believed to have compromised Ministry of Foreign Affairs networks.",Denouncement   https://fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx,Denmark,Russian Federation,Military Espionage,"Military, Government",https://translate.google.com/translate?hl=en&sl=da&tl=en&u=https%3A//fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx,http://www.reuters.com/article/us-denmark-security-russia-idUSKBN17P0NR,,Danish officials,APT 28
Targeting of French presidential candidate Emmanuel Macron's campaign,4/26/2017,Believed to be the work of APT 28,A threat actor targeted the campaign of French presidential candidate Emmanuel Macron. The U.S. National Security Agency has confirmed that it believes Russia was responsible.,,Emmanuel Macron's 2017 presidential election campaign,Russian Federation,Political Espionage,Civil society,https://motherboard.vice.com/en_us/article/evidence-linking-russian-hackers-fancy-bear-to-macron-phishing,https://www.threatconnect.com/blog/activity-targeting-french-election/?utm_campaign=DNC%20Guccifer%202.0%20Fancy%20Bears%20Research&utm_source=twitter&utm_medium=social,http://www.france24.com/en/20170426-france-macron-cyber-security-russia-presidential-campaign,"TrendMicro, ThreatConnect",APT 28
Magic Hound,2/15/2017,Also known as Cobalt Gypsy and possibly associated with Rocket Kitten,"This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.",,Saudi Arabia,Iran (Islamic Republic of),Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2017/02/unit42-magic-hound-campaign-attacks-saudi-targets/,https://www.secureworks.com/blog/iranian-pupyrat-bites-middle-eastern-organizations,,"Palo Alto Networks, Secureworks",APT 34?
WhiteBear,8/30/2017,Associated with Turla,This threat actor targets defense contractors and diplomatic institutions for the purpose of espionage.,,"United States, United Kingdom, Uzbekistan, South Korea",Russian Federation,Political Espionage,"Government, Private sector",https://securelist.com/introducing-whitebear/81638/,,,Kaspersky,Turla
Compromise of the Italian Ministry of Foreign Affairs,2/10/2017,,A threat actor compromised the Italian Ministry of Foreign Affairs??? computer networks.,,Italy,Russian Federation,Political Espionage,Government,https://www.theguardian.com/world/2017/feb/10/russia-suspected-over-hacking-attack-on-italian-foreign-ministry,,,Italian officials,
Operation BugDrop,2/17/2017,,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets' computers to eavesdrop on conversations.",,"Ukraine, Russia, Saudi Arabia, Austria",Russian Federation,Infrastructure Espionage,Private sector,https://cyberx-labs.com/en/blog/operation-bugdrop-cyberx-discovers-large-scale-cyber-reconnaissance-operation/,,,CyberX,
Targeting of employees of companies that operate U.S. nuclear power plants,6/30/2017,,"A threat actor targeted employees of companies that operate nuclear power plants in the United States, which prompted the Department of Homeland Security and the FBI to issue an alert to the industry. An administrative network of the Wolf Creek Nuclear Operating Corporation was compromised.",,United States,Russian Federation,Infrastructure Espionage,Private sector,https://www.reuters.com/article/us-usa-cyber-energy/u-s-warns-businesses-of-hacking-campaign-against-nuclear-energy-firms-idUSKBN19L2Z9,https://www.washingtonpost.com/world/national-security/us-officials-say-russian-government-hackers-have-penetrated-energy-and-nuclear-company-business-networks/2017/07/08/bbfde9a2-638b-11e7-8adc-fea80e32bf47_story.html,https://www.us-cert.gov/ncas/alerts/TA17-293A,"USCert, DHS, FBI",
Attempted compromise of Norwegian government networks,2/4/2017,Believed to be the work of the Dukes,"A threat actor targeted the computer networks of the Norwegian government: the Ministry of Foreign Affairs, the army, a nuclear radiation protection agency, and a parliamentary group.",Denouncement   http://www.tv2.no/nyheter/8903847/,Norway,Russian Federation,Political Espionage,"Government, Military",http://www.ibtimes.co.uk/norway-blames-russia-linked-hackers-cyberattack-targeting-spy-agency-ministries-1604809,http://www.tv2.no/nyheter/8902520/,,Norwegian intelligence,APT 29
Compromise of Israeli Defense Force personnel,2/16/2017,,"A threat actor used a tool called ViperRAT to target Israeli Defense Force personnel and compromise devices running the Android operating system, allowing a remote actor to access the devices' video and audio capabilities as well as text message and location data.",,Israel Defense Force,Unknown,Military Espionage,Military,https://securelist.com/blog/incidents/77562/breaking-the-weakest-link-of-the-strongest-chain/,https://blog.lookout.com/blog/2017/02/16/viperrat-mobile-apt/,,N/A,
Mexico accused of targeting journalists and civil society groups,6/19/2017,,"A threat actor targets journalists, lawyers, and other civil society groups in Mexico using commercial malware, developed by the NSO Group, for the purpose of espionage.",,"Aristegui Noticias, Carlos Loret de Mola, Mexicans against Corruption and Impunity, Centro PRODH, Mexican Institute for Competitiveness",Mexico,Civil Espionage,Civil society,https://citizenlab.ca/2017/06/reckless-exploit-mexico-nso/,https://www.nytimes.com/2017/06/19/world/americas/mexico-spyware-anticrime.html,,CitizenLab,malware by NSO group
Targeting North Korea's Reconnaissance General Bureau,9/30/2017,,"U.S. government officials told the Washington Post that the United States had launched a denial of service campaign against North Korea's Reconnaissance General Bureau, the country's intelligence agency.",,North Korea,United States,Denial of service,Government,https://www.washingtonpost.com/world/national-security/trump-signed-presidential-directive-ordering-actions-to-pressure-north-korea/2017/09/30/97c6722a-a620-11e7-b14f-f41773cd5a14_story.html,https://arstechnica.com/information-technology/2017/10/as-us-launches-ddos-attacks-n-korea-gets-more-bandwidth-from-russia/,,US government self admitted,
Distributed denial of service against the government of Montenegro,2/17/2017,,A threat actor launched a distributed denial of service attack against government of Montenegro websites.,,Montenegro,Russian Federation,Denial of service,Government,http://www.gov.me/en/News/169508/Web-portal-of-Government-of-Montenegro-and-several-other-web-sites-were-under-enhanced-cyberattacks.html,http://www.telegraph.co.uk/news/2017/02/28/montenegro-asks-british-help-cyber-attacks-wake-russian-backed/,http://www.balkaninsight.com/en/article/montenegro-govt-on-alert-over-new-cyber-attacks-02-21-2017,Unknown,
Compromise of cryptocurrency exchanges in South Korea,9/11/2017,Believed to be the work of a subset of the Lazarus Group known as Bluenoroff,A threat actor targeted cryptocurrency exchanges in South Korea for the purpose of raising money.,,Cryptocurrency exchanges in South Korea,Korea (Democratic People's Republic of),Sabotage,Private sector,https://www.fireeye.com/blog/threat-research/2017/09/north-korea-interested-in-bitcoin.html,https://securelist.com/lazarus-under-the-hood/77908/,,FireEye,Lazarus Group
